ext,mimetype,kind
xpo,,Microsoft Dynamics AX Export
xps,,Open XML Paper Specification
xqt,,SuperCalc Macro sheet
xrm-ms,,SuperCalc XrML Digital License
xsd,,XML schema description
xsf,,Microsoft InfoPath file
xsn,,Microsoft InfoPath template
xspf,,XML Sharable Playlist Format
xtb,,LocoScript External translation table
xx,,XXDECODE XX-encoded file (ASCII)
xxe,,XXDECODE XX-encoded file (ASCII)
xxx,,Singer Embroidery Format
y,,Yacc/Bison Grammar file
